,num-iter,tiles-x,tiles-y,pods-x,pods-y,wall_clock_ns,cello_flops_min,cello_flops_max,cello_flops_median,cello_flops_mean,cello_flops_sum,cello_task_execute_min,cello_task_execute_max,cello_task_execute_median,cello_task_execute_mean,cello_task_execute_sum,cello_task_push_min,cello_task_push_max,cello_task_push_median,cello_task_push_mean,cello_task_push_sum,cello_steals_min,cello_steals_max,cello_steals_median,cello_steals_mean,cello_steals_sum,cello_owner_lock_acquire_fail_min,cello_owner_lock_acquire_fail_max,cello_owner_lock_acquire_fail_median,cello_owner_lock_acquire_fail_mean,cello_owner_lock_acquire_fail_sum
0,16,1,1,1,1,1688886044,101662721,101662721,101662721.0,101662721.0,101662721,33,33,33.0,33.0,33,32,32,32.0,32.0,32,0,0,0.0,0.0,0,0,0,0.0,0.0,0
0,16,1,1,2,1,878510548,50831361,50831361,50831361.0,50831361.0,101662722,17,17,17.0,17.0,34,16,16,16.0,16.0,32,0,0,0.0,0.0,0,0,0,0.0,0.0,0
0,16,1,1,2,2,446213540,25415681,25415681,25415681.0,25415681.0,101662724,9,9,9.0,9.0,36,8,8,8.0,8.0,32,0,0,0.0,0.0,0,0,0,0.0,0.0,0
0,16,1,1,4,2,235758245,12707841,12707841,12707841.0,12707841.0,101662728,5,5,5.0,5.0,40,4,4,4.0,4.0,32,0,0,0.0,0.0,0,0,0,0.0,0.0,0
0,16,2,1,4,2,200649365,6353921,6353921,6353921.0,6353921.0,101662736,5,8,6.5,6.5,104,4,8,6.0,6.0,96,0,4,2.0,2.0,32,0,0,0.0,0.0,0
0,16,2,2,4,2,104340615,3176961,3176961,3176961.0,3176961.0,101662752,5,8,8.0,7.25,232,4,12,6.0,7.0,224,3,6,5.0,4.75,152,0,0,0.0,0.0,0
0,16,4,2,4,2,77211788,1588481,1588481,1588481.0,1588481.0,101662784,5,8,8.0,7.625,488,4,17,6.5,7.5,480,4,7,6.5,6.25,400,0,14,0.0,2.0,128
0,16,4,4,4,2,84529940,794241,794241,794241.0,794241.0,101662848,5,8,8.0,7.8125,1000,2,22,7.0,7.75,992,4,8,7.0,6.5,832,0,1667,1.0,116.4375,14904
0,16,8,4,4,2,75611430,397121,397121,397121.0,397121.0,101662976,5,8,8.0,7.90625,2024,3,25,7.0,7.875,2016,4,8,8.0,7.21875,1848,0,682,0.0,26.71875,6840
0,16,8,8,4,2,59977818,172205,224917,198561.0,198561.0,101663232,5,9,8.0,7.953125,4072,1,28,8.0,7.9375,4064,3,8,7.0,7.140625,3656,0,8667,0.0,221.59375,113456
0,16,16,8,4,2,54449450,49641,147385,99281.0,99281.0,101663744,4,12,8.0,7.9765625,8168,1,34,7.0,7.96875,8160,4,11,7.0,7.4921875,7672,0,110988,0.0,1785.21875,1828064
