,vsize,compute,tiles-x,tiles-y,pods-x,pods-y,thief-rng,run,wall_clock_ns
0,8192,1000,16,8,4,2,xorshift,0,3663776
0,8192,1000,16,8,4,2,xorshift,1,3676026
0,8192,1000,16,8,4,2,xorshift,2,3668036
0,8192,1000,16,8,4,2,xorshift,3,3656386
0,8192,1000,16,8,4,2,xorshift,4,3679606
0,8192,1000,16,8,4,2,xorshift,5,3664466
0,8192,1000,16,8,4,2,xorshift,6,3669616
0,8192,1000,16,8,4,2,xorshift,7,3664956
0,8192,1000,16,8,4,2,xorshift,8,3664947
0,8192,1000,16,8,4,2,xorshift,9,3672286
0,8192,1000,16,8,4,2,linearcong,0,3671696
0,8192,1000,16,8,4,2,linearcong,1,3661586
0,8192,1000,16,8,4,2,linearcong,2,3675306
0,8192,1000,16,8,4,2,linearcong,3,3680736
0,8192,1000,16,8,4,2,linearcong,4,3676646
0,8192,1000,16,8,4,2,linearcong,5,3671486
0,8192,1000,16,8,4,2,linearcong,6,3682376
0,8192,1000,16,8,4,2,linearcong,7,3666896
0,8192,1000,16,8,4,2,linearcong,8,3677886
0,8192,1000,16,8,4,2,linearcong,9,3713486
