time, cycle, y, x, tag
208908216,313660,9,23,895c0000
208908882,313661,8,23,885c0000
208909548,313662,8,16,88400000
208910214,313663,9,16,89400000
208910880,313664,8,24,88600000
208911546,313665,10,17,8a440000
208912212,313666,8,17,88440000
208912878,313667,9,24,89600000
208913544,313668,8,20,88500000
208914210,313669,10,16,8a400000
208914876,313670,8,18,88480000
208915542,313671,9,17,89440000
208916208,313672,8,26,88680000
208916874,313673,11,17,8b440000
208917540,313674,8,21,88540000
208918206,313675,9,20,89500000
208918872,313676,8,29,88740000
208919538,313677,10,23,8a5c0000
208920204,313678,8,25,88640000
208920870,313679,8,16,8400001
208921536,313680,9,18,89480000
208922202,313681,8,17,8440001
208922868,313682,9,16,9400001
208923534,313683,8,20,8500001
208924200,313684,11,16,8b400000
208924866,313685,8,27,886c0000
208925532,313686,9,26,89680000
208926198,313687,8,23,85c0001
208926864,313688,10,18,8a480000
208927530,313689,8,19,884c0000
208928196,313690,9,21,89540000
208928862,313691,8,26,8680001
208929528,313692,10,16,a400001
208930194,313693,8,18,8480001
208930860,313694,9,17,9440001
208931526,313695,8,29,8740001
208932192,313696,12,23,8c5c0000
208932858,313697,8,30,88780000
208933524,313698,9,29,89740000
208934190,313699,8,22,88580000
208934856,313700,10,20,8a500000
208935522,313701,8,21,8540001
208936188,313702,9,25,89640000
208936854,313703,8,19,84c0001
208937520,313704,11,20,8b500000
208938186,313705,8,24,8600001
208938852,313706,9,20,9500001
208939518,313707,8,28,88700000
208940184,313708,10,24,8a600000
208940850,313709,8,27,86c0001
208941516,313710,9,18,9480001
208942182,313711,8,31,887c0000
208942848,313712,11,16,b400001
208943514,313713,8,30,8780001
208944180,313714,9,23,95c0001
208944846,313715,8,22,8580001
208945512,313716,10,17,a440001
208946178,313717,8,25,8640001
208946844,313718,9,27,896c0000
208947510,313719,8,28,8700001
208948176,313720,12,16,8c400000
208948842,313721,8,31,87c0001
208949508,313722,9,26,9680001
208950174,313723,10,26,8a680000
208950840,313724,9,19,894c0000
208951506,313725,11,18,8b480000
208952172,313726,9,29,9740001
208952838,313727,10,19,8a4c0000
208953504,313728,9,30,89780000
208954170,313729,13,23,8d5c0000
208954836,313730,9,22,89580000
208955502,313731,10,29,8a740000
208956168,313732,9,21,9540001
208956834,313733,11,23,8b5c0000
208957500,313734,9,19,94c0001
208961496,313740,10,18,a480001
209017440,313824,9,24,9600001
209139318,314007,12,18,8c480000
209145312,314016,10,20,a500001
209147310,314019,9,28,89700000
209156634,314033,11,21,8b540000
209160630,314039,10,21,8a540000
209217906,314125,9,27,96c0001
209224566,314135,12,16,c400001
209228562,314141,10,23,a5c0001
209229894,314143,9,31,897c0000
209236554,314153,11,17,b440001
209240550,314159,10,22,8a580000
209250540,314174,9,30,9780001
209326464,314288,13,16,8d400000
209332458,314297,10,26,a680001
209334456,314300,9,22,9580001
209385072,314376,11,26,8b680000
209411046,314415,12,17,8c440000
209423034,314433,11,19,8b4c0000
209425032,314436,10,27,8a6c0000
209435022,314451,10,29,a740001
209435688,314452,9,25,9640001
209439018,314457,10,25,8a640000
209520270,314579,14,23,8e5c0000
209599524,314698,11,20,b500001
209666790,314799,12,20,8c500000
209747376,314920,11,18,b480001
209751372,314926,10,21,a540001
209853270,315079,9,28,9700001
209855268,315082,10,19,a4c0001
209871252,315106,13,24,8d600000
209873250,315109,11,29,8b740000
209877246,315115,12,21,8c540000
209879244,315118,11,24,8b600000
209879910,315119,10,30,8a780000
209885904,315128,10,28,8a700000
209889234,315133,13,16,d400001
209893230,315139,12,17,c440001
209894562,315141,11,22,8b580000
209901222,315151,14,16,8e400000
209902554,315153,11,23,b5c0001
209905218,315157,12,26,8c680000
209907216,315160,10,24,a600001
209911878,315167,10,31,8a7c0000
209913210,315169,13,17,8d440000
209917206,315175,12,19,8c4c0000
209918538,315177,11,27,8b6c0000
209925198,315187,11,26,b680001
209927196,315190,11,25,8b640000
209929194,315193,15,16,8f400000
209999124,315298,12,20,c500001
210003120,315304,13,20,8d500000
210005118,315307,10,27,a6c0001
210005784,315308,12,18,c480001
210006450,315309,11,21,b540001
210010446,315315,11,19,b4c0001
210012444,315318,14,24,8e600000
210013110,315319,11,29,b740001
210013776,315320,12,29,8c740000
210016440,315324,13,18,8d480000
210017772,315326,12,24,8c600000
210018438,315327,11,30,8b780000
210022434,315333,11,28,8b700000
210024432,315336,14,16,e400001
210028428,315342,13,17,d440001
210029760,315344,12,22,8c580000
210036420,315354,15,17,8f440000
210037752,315356,12,23,c5c0001
210039084,315358,13,26,8d680000
210041082,315361,11,24,b600001
210043746,315365,11,31,8b7c0000
210044412,315366,14,17,8e440000
210047076,315370,13,21,8d540000
210048408,315372,12,27,8c6c0000
210053736,315380,12,26,c680001
210055734,315383,12,25,8c640000
210057732,315386,15,23,8f5c0000
210126996,315490,13,20,d500001
210130992,315496,14,20,8e500000
210132990,315499,10,22,a580001
210133656,315500,13,19,8d4c0000
210134988,315502,12,21,c540001
210135654,315503,11,27,b6c0001
210139650,315509,12,19,c4c0001
210141648,315512,15,16,f400001
210142314,315513,12,29,c740001
210142980,315514,13,29,8d740000
210145644,315518,14,18,8e480000
210146976,315520,13,18,d480001
210147642,315521,12,30,8c780000
210151638,315527,12,28,8c700000
210153636,315530,15,18,8f480000
210157632,315536,14,17,e440001
210158964,315538,13,27,8d6c0000
210166956,315550,13,23,d5c0001
210168288,315552,14,26,8e680000
210169620,315554,13,22,8d580000
210170286,315555,12,24,c600001
